...1,FIPS,state,name,population,total_liabilities,revenue,lib_rev_ratio,percapita,state_abv,rank_lib_rev_ratio,rank_population,rank_total_liabilities,rank_revenue
381,19103,Iowa,Johnson County,152854,37879408,97000935,39.0505596672857,247.814306462376,IA,1432,383,870,549
382,06031,California,Kings County,152486,299045913,284254138,105.20371492358,1961.13684534974,CA,640,384,265,247
383,27139,Minnesota,Scott County,150928,207062929,204321594,101.341676592441,1371.93184167285,MN,673,385,336,315
384,35043,New Mexico,Sandoval County,148834,116143372,80740443,143.847826051685,780.355107031995,NM,323,386,489,630
385,37135,North Carolina,Orange County,148696,521956039,266013907,196.213816370134,3510.22246059074,NC,125,387,182,256
386,48367,Texas,Parker County,148222,184449728,81289555,226.90458571215,1244.4153229615,TX,72,388,370,627
387,47189,Tennessee,Wilson County,147737,542624149,128831948,421.187568319622,3672.9062387892,TN,3,389,178,437
388,37159,North Carolina,Rowan County,146875,121760394,174378280,69.8254358283612,829.00693787234,NC,1072,390,477,362
389,13077,Georgia,Coweta County,146158,151641712,166641170,90.9989482190986,1037.51906840542,GA,808,391,409,373
390,48257,Texas,Kaufman County,145310,155454241,80096737,194.083113523089,1069.81103158764,TX,136,392,404,635
391,04005,Arizona,Coconino County,145101,136655128,155631728,87.8067279443174,941.793150977595,AZ,847,393,441,390
392,17161,Illinois,Rock Island County,144672,109128778,78205822,139.540478201227,754.318582725061,IL,351,394,504,649
393,13097,Georgia,Douglas County,144237,213077017,169306436,125.852874842868,1477.27016646214,GA,466,395,329,369
394,34037,New Jersey,Sussex County,144221,188445337,137628161,136.923530497512,1306.64283980835,NJ,375,396,364,420
