...1,state_abv,state,city,total_liabilities,revenues,lib_rev_ratio,population,rank_lib_rev_ratio,rank_population,rank_total_liabilities,rank_revenues
79,TX,Texas,Irving,1041752554,465446366,223.82,256684,50,79,80,87
80,TX,Texas,Laredo,1409404951,526385016,267.75,255205,35,80,66,82
81,NC,North Carolina,Winston-Salem,1083821870,452557098,239.49,249545,46,81,76,88
82,VA,Virginia,Chesapeake,1137616969,855449210,132.98,249422,90,82,74,60
83,AZ,Arizona,Glendale,1364207000,552856000,246.76,248325,43,83,68,79
84,TX,Texas,Garland,1457720709,726223208,200.73,246018,65,84,65,63
85,AZ,Arizona,Scottsdale,1672194000,802015000,208.5,241361,60,85,60,61
86,VA,Virginia,Norfolk,2126539198,936078688,227.18,238005,49,86,49,55
87,ID,Idaho,Boise,224761000,479054000,46.92,235684,100,87,98,85
88,CA,California,Fremont,675792497,389180841,173.64,230504,75,88,92,93
89,WA,Washington,Spokane,886969987,584541313,151.74,228989,84,89,86,74
90,CA,California,Santa Clarita,217263369,255859577,84.92,228673,98,90,100,98
91,VA,Virginia,Richmond,2594525942,1190816721,217.88,226610,54,91,44,40
92,FL,Florida,Hialeah,1038077167,330547538,314.05,223109,14,92,81,95
93,CA,California,San Bernardino,700249533,260211842,269.11,222101,34,93,91,97
94,CA,California,Modesto,910981832,434550143,209.64,218464,58,94,85,91
95,AL,Alabama,Huntsville,1335234757,444428253,300.44,215006,19,95,70,90
96,IA,Iowa,Des Moines,866817685,508221864,170.56,214133,77,96,87,83
97,NY,New York,Yonkers,4915299122,1249122727,393.5,211569,6,97,27,37
98,CA,California,Moreno Valley,221955207,214352086,103.55,208634,95,98,99,100
99,NC,North Carolina,Fayetteville,237274660,229636558,103.33,208501,96,99,97,99
100,CA,California,Fontana,346535100,268182993,129.22,208393,91,100,95,96
