"","state","district","id","total_liabilities","revenues","lib_rev_ratio","lat","lon"
"81","TX","San Antonio Independent School District",38823,1599347637,777944080,205.586452563531,29.4176425,-98.4876524
"82","FL","Collier County District School Board",32378,600855011,691047972,86.9483791785153,26.123013,-81.762489
"83","TX","Socorro Independent School District",38923,1309743953,568085362,230.55407525181,31.700527,-106.271452
"84","CA","Capistrano Unified School District",145992,726686125,527849006,137.669317691204,33.4891501,-117.6628187
"85","AK","Anchorage School District",40425,998762854,792866287,125.968636878112,61.1943896,-149.7756317
"86","CA","Santa Ana Unified School District",146617,1377591091,766196899,179.795962734639,33.742669,-117.846307
"87","TX","Killeen Independent School District",38810,814770682,540849268,150.646535034231,31.1154273,-97.7114106
"88","TX","Alief Independent School District",38982,791469325,578803997,136.742201004531,29.712175,-95.596426
"89","TX","Humble Independent School District",44074,1216359655,574949495,211.559391838408,30.013007,-95.268461
"90","FL","Lake County District School Board",69471,449502625,493347273,91.1128224681603,28.810041,-81.733318
"91","MD","Frederick County Public Schools",189882,960164547,718614776,133.613248581462,39.4137551,-77.4054154
"92","CA","Clovis Unified School District",146030,1486986076,645722260,230.282610359445,36.8373814,-119.6897281
"93","FL","St. Johns County School District",189129,510351766,517943041,98.5343417327621,29.8978117,-81.3158737
"94","FL","Sarasota County District School Board",70160,528129886,626494574,84.2991955425938,27.2800553,-82.5379471
"95","KY","Fayette County Public Schools",33654,826524400,631106551,130.964319525816,33.684657,-87.831908
"96","FL","Marion District School Board County",32408,402832761,453972755,88.7350081173924,29.1839236,-82.1325032
"97","TX","United Independent School District",39239,952490231,523010122,182.11697841672,27.574779,-99.480551
"98","TX","Brownsville Independent School District",38854,586322178,578818538,101.296371748204,25.9356385,-97.4986642
"99","GA","Henry County Board of Education",32581,1132140361,531474199,213.018875258703,31.567428,-85.251883
"100","GA","Cherokee County School District",105267,1227419416,528701082,232.157538122837,34.151475,-85.67719
