"","FIPS","state","name","population","total_liabilities","revenue","lib_rev_ratio","percapita","state_abv"
"1","06037","California","Los Angeles County",10014009,52768946000,29454082000,179.156647964788,5269.51253988288,"CA"
"2","17031","Illinois","Cook County",5275541,21176754633,6061200953,349.382157054511,4014.13895427976,"IL"
"3","48201","Texas","Harris County",4731145,8947139580,4137326161,216.254151397081,1891.11506411239,"TX"
"4","04013","Arizona","Maricopa County",4420568,2834203888,2499817863,113.376415536079,641.140208226635,"AZ"
"5","06073","California","San Diego County",3298634,6570540000,5306058000,123.830911761613,1991.89725201402,"CA"
"6","06059","California","Orange County",3186989,7044193000,4801992000,146.693143178914,2210.29724294624,"CA"
"7","12086","Florida","Miami-Dade County",2701767,27654208000,9453906000,292.516214990925,10235.6006272932,"FL"
"8","48113","Texas","Dallas County",2613539,942867000,1062432000,88.7461032800217,360.762552232815,"TX"
"9","06065","California","Riverside County",2418185,8461146000,5091044000,166.196677930892,3498.9655464739,"CA"
"10","53033","Washington","King County",2269675,7102405000,5016201000,141.589322277955,3129.26079725071,"WA"
"11","32003","Nevada","Clark County",2265461,11263235204,5146232160,218.863721142343,4971.71887046389,"NV"
"12","06071","California","San Bernardino County",2181654,4697075000,5011731000,93.7216103577786,2152.98805401773,"CA"
"13","48439","Texas","Tarrant County",2110640,908700000,816457000,111.297961803255,430.532918925065,"TX"
"14","48029","Texas","Bexar County",2009324,3027051150,869968776,347.949401577144,1506.50226145709,"TX"
"15","12011","Florida","Broward County",1944375,7728588000,3660292000,211.146760968797,3974.8443587271,"FL"
"16","06085","California","Santa Clara County",1936259,10454942000,7052128000,148.252300582179,5399.55760050696,"CA"
"17","26163","Michigan","Wayne County",1793561,1812948420,1084737794,167.13241024955,1010.80945671767,"MI"
"18","06001","California","Alameda County",1682353,4327169000,3470053000,124.700372011609,2572.09337160513,"CA"
"19","06067","California","Sacramento County",1585055,67797303,109469081,61.9328328882198,42.7728394282848,"CA"
"20","36103","New York","Suffolk County",1525920,12322349989,3589705708,343.269086419493,8075.35780971479,"NY"
"21","12099","Florida","Palm Beach County",1492191,4197746860,2731751287,153.665045568989,2813.14312980041,"FL"
"22","12057","Florida","Hillsborough County",1459762,3229923000,2543904000,126.967173289558,2212.6367174923,"FL"
"23","12095","Florida","Orange County",1429908,3034626323,2730260273,111.147876743105,2122.25284633697,"FL"
"24","36059","New York","Nassau County",1395774,14455591000,3431196000,421.298899858825,10356.6845348889,"NY"
"25","39049","Ohio","Franklin County",1323807,1539152000,1407426000,109.359355305359,1162.67099358139,"OH"
"26","48453","Texas","Travis County",1290188,2724331272,990562635,275.028673174211,2111.57697327831,"TX"
"27","27053","Minnesota","Hennepin County",1281565,3494379106,3366383989,103.802154401228,2726.64992099503,"MN"
"28","26125","Michigan","Oakland County",1274395,741376009,970737618,76.3724404260184,581.747424464157,"MI"
"29","39035","Ohio","Cuyahoga County",1264817,2415923380,1522380010,158.69384543482,1910.09717611322,"OH"
"30","42003","Pennsylvania","Allegheny County",1250578,3045677641,2198270322,138.548822249896,2435.41597645249,"PA"
"31","49035","Utah","Salt Lake County",1185238,958229946,1332987995,71.8858646585186,808.470489471313,"UT"
"32","06013","California","Contra Costa County",1165927,2611861000,3738705000,69.8600451225759,2240.15826033705,"CA"
"33","51059","Virginia","Fairfax County",1150309,7213251402,5484428195,131.522396602368,6270.70761160697,"VA"
"34","37183","North Carolina","Wake County",1129410,3533852433,1689602194,209.152926384043,3128.93673068239,"NC"
"35","37119","North Carolina","Mecklenburg County",1115482,2678783023,1869490833,143.289444147812,2401.45786574772,"NC"
"36","13121","Georgia","Fulton County",1066710,3257955000,1134497000,287.17175981955,3054.20873527013,"GA"
"37","48085","Texas","Collin County",1064465,665516189,451872776,147.279549542945,625.211903632341,"TX"
"38","24031","Maryland","Montgomery County",1062061,6415638072,5082707410,126.224815919514,6040.7434902515,"MD"
"39","04019","Arizona","Pima County",1043433,1970239000,1188854000,165.725900741386,1888.22761020593,"AZ"
"40","06019","California","Fresno County",1008654,2161228000,1757231000,122.990545921396,2142.68520225964,"CA"
"41","36119","New York","Westchester County",1004457,6973518018,2636441581,264.504932263849,6942.57496139705,"NY"
"42","29189","Missouri","St Louis County",1004125,1099837660,870844379,126.295545624691,1095.31946719781,"MO"
"43","18097","Indiana","Marion County",977203,873586220,348954336,250.343993432997,893.965962036547,"IN"
"44","24033","Maryland","Prince Georges County",967201,7876190727,2497217158,315.398710991878,8143.28224123011,"MD"
"45","12103","Florida","Pinellas County",959107,1957358812,1558505792,125.592013969236,2040.81381118061,"FL"
"46","13135","Georgia","Gwinnett County",957062,1455596,1697363,85.7563172992459,1.52090042233419,"GA"
"47","34003","New Jersey","Bergen County",955732,1293974943,813424414,159.077465678329,1353.90982304663,"NJ"
"48","36029","New York","Erie County",954236,3025657000,1883843000,160.610889548651,3170.76383619985,"NY"
"49","55079","Wisconsin","Milwaukee County",939489,2876921000,1171061000,245.667902867571,3062.21892965218,"WI"
"50","17043","Illinois","Dupage County",932877,476399747,558287578,85.3323207918482,510.677985415012,"IL"
"51","47157","Tennessee","Shelby County",929744,1845498562,1216535173,151.701208724526,1984.95345170283,"TN"
"52","53053","Washington","Pierce County",921130,758885000,938767000,80.8384828184203,823.863081215464,"WA"
"53","06029","California","Kern County",909235,2747291000,1848241000,148.643548108715,3021.54118572206,"CA"
"54","48121","Texas","Denton County",906422,920520035,417144223,220.671888580847,1015.55350046667,"TX"
"55","26099","Michigan","Macomb County",881217,588170168,838603717,70.1368424771721,667.452134945195,"MI"
